Wavelength (nm),Intensity
4.812238769531250000e+02,0.000000000000000000e+00
4.814328308105468750e+02,0.000000000000000000e+00
4.816417846679687500e+02,0.000000000000000000e+00
4.818507385253906250e+02,0.000000000000000000e+00
4.820596923828125000e+02,0.000000000000000000e+00
4.822686462402343750e+02,0.000000000000000000e+00
4.824776000976562500e+02,0.000000000000000000e+00
4.826865539550781250e+02,0.000000000000000000e+00
4.828955078125000000e+02,0.000000000000000000e+00
4.831044921875000000e+02,0.000000000000000000e+00
4.833134460449218750e+02,0.000000000000000000e+00
4.835223999023437500e+02,0.000000000000000000e+00
4.837313537597656250e+02,0.000000000000000000e+00
4.839403076171875000e+02,0.000000000000000000e+00
4.841492614746093750e+02,0.000000000000000000e+00
4.843582153320312500e+02,0.000000000000000000e+00
4.845671691894531250e+02,0.000000000000000000e+00
4.847761230468750000e+02,0.000000000000000000e+00
4.849850769042968750e+02,0.000000000000000000e+00
4.851940307617187500e+02,0.000000000000000000e+00
4.854029846191406250e+02,0.000000000000000000e+00
4.856119384765625000e+02,0.000000000000000000e+00
4.858208923339843750e+02,0.000000000000000000e+00
4.860298461914062500e+02,0.000000000000000000e+00
4.862388000488281250e+02,0.000000000000000000e+00
4.864477539062500000e+02,0.000000000000000000e+00
4.866567077636718750e+02,0.000000000000000000e+00
4.868656616210937500e+02,0.000000000000000000e+00
4.870746154785156250e+02,0.000000000000000000e+00
4.872835693359375000e+02,0.000000000000000000e+00
4.874925231933593750e+02,0.000000000000000000e+00
4.877015075683593750e+02,0.000000000000000000e+00
4.879104614257812500e+02,0.000000000000000000e+00
4.881194152832031250e+02,0.000000000000000000e+00
4.883283691406250000e+02,0.000000000000000000e+00
4.885373229980468750e+02,0.000000000000000000e+00
4.887462768554687500e+02,0.000000000000000000e+00
4.889552307128906250e+02,0.000000000000000000e+00
4.891641845703125000e+02,0.000000000000000000e+00
4.893731384277343750e+02,0.000000000000000000e+00
4.895820922851562500e+02,0.000000000000000000e+00
4.897910461425781250e+02,0.000000000000000000e+00
4.900000000000000000e+02,0.000000000000000000e+00
4.902089538574218750e+02,0.000000000000000000e+00
4.904179077148437500e+02,0.000000000000000000e+00
4.906268615722656250e+02,0.000000000000000000e+00
4.908358154296875000e+02,0.000000000000000000e+00
4.910447692871093750e+02,0.000000000000000000e+00
4.912537231445312500e+02,0.000000000000000000e+00
4.914626770019531250e+02,0.000000000000000000e+00
4.916716308593750000e+02,0.000000000000000000e+00
4.918805847167968750e+02,0.000000000000000000e+00
4.920895385742187500e+02,0.000000000000000000e+00
4.922984924316406250e+02,0.000000000000000000e+00
4.925074768066406250e+02,0.000000000000000000e+00
4.927164306640625000e+02,0.000000000000000000e+00
4.929253845214843750e+02,0.000000000000000000e+00
4.931343383789062500e+02,0.000000000000000000e+00
4.933432922363281250e+02,0.000000000000000000e+00
4.935522460937500000e+02,0.000000000000000000e+00
4.937611999511718750e+02,0.000000000000000000e+00
4.939701538085937500e+02,0.000000000000000000e+00
4.941791076660156250e+02,0.000000000000000000e+00
4.943880615234375000e+02,0.000000000000000000e+00
4.945970153808593750e+02,0.000000000000000000e+00
4.948059692382812500e+02,7.364583492279052734e+00
4.950149230957031250e+02,7.364583492279052734e+00
4.952238769531250000e+02,7.364583492279052734e+00
4.954328308105468750e+02,7.364583492279052734e+00
4.956417846679687500e+02,1.019791698455810547e+01
4.958507385253906250e+02,1.028125000000000000e+01
4.960596923828125000e+02,1.036458301544189453e+01
4.962686462402343750e+02,1.044791698455810547e+01
4.964776000976562500e+02,1.113541698455810547e+01
4.966865539550781250e+02,1.161458301544189453e+01
4.968955078125000000e+02,1.151041698455810547e+01
4.971044921875000000e+02,4.166666507720947266e+00
4.973134460449218750e+02,0.000000000000000000e+00
4.975223999023437500e+02,0.000000000000000000e+00
4.977313537597656250e+02,0.000000000000000000e+00
4.979403076171875000e+02,0.000000000000000000e+00
4.981492614746093750e+02,0.000000000000000000e+00
4.983582153320312500e+02,0.000000000000000000e+00
4.985671691894531250e+02,0.000000000000000000e+00
4.987761230468750000e+02,0.000000000000000000e+00
4.989850769042968750e+02,0.000000000000000000e+00
4.991940307617187500e+02,0.000000000000000000e+00
4.994029846191406250e+02,0.000000000000000000e+00
4.996119384765625000e+02,0.000000000000000000e+00
4.998208923339843750e+02,0.000000000000000000e+00
5.000298461914062500e+02,0.000000000000000000e+00
5.002388000488281250e+02,8.145833015441894531e+00
5.004477539062500000e+02,2.131250000000000000e+01
5.006567077636718750e+02,2.766666603088378906e+01
5.008656616210937500e+02,2.479166603088378906e+01
5.010746154785156250e+02,2.457291603088378906e+01
5.012835693359375000e+02,2.523958396911621094e+01
5.014925231933593750e+02,1.118750000000000000e+01
5.017015075683593750e+02,1.120833301544189453e+01
5.019104614257812500e+02,1.118750000000000000e+01
5.021194152832031250e+02,1.118750000000000000e+01
5.023283691406250000e+02,1.118750000000000000e+01
5.025373229980468750e+02,1.118750000000000000e+01
5.027462768554687500e+02,1.119791698455810547e+01
5.029552307128906250e+02,1.118750000000000000e+01
5.031641845703125000e+02,1.183333301544189453e+01
5.033731384277343750e+02,1.183333301544189453e+01
5.035820922851562500e+02,1.166666698455810547e+01
5.037910461425781250e+02,1.158333301544189453e+01
5.040000000000000000e+02,1.141666698455810547e+01
5.042089538574218750e+02,1.133333301544189453e+01
5.044179077148437500e+02,1.125000000000000000e+01
5.046268615722656250e+02,1.116666698455810547e+01
5.048358154296875000e+02,1.150000000000000000e+01
5.050447692871093750e+02,1.150000000000000000e+01
5.052537231445312500e+02,1.133333301544189453e+01
5.054626770019531250e+02,1.125000000000000000e+01
5.056716308593750000e+02,1.108333301544189453e+01
5.058805847167968750e+02,1.100000000000000000e+01
5.060895385742187500e+02,1.091666698455810547e+01
5.062984924316406250e+02,1.083333301544189453e+01
5.065074768066406250e+02,1.083333301544189453e+01
5.067164306640625000e+02,1.100000000000000000e+01
5.069253845214843750e+02,1.116666698455810547e+01
5.071343383789062500e+02,1.133333301544189453e+01
5.073432922363281250e+02,1.166666698455810547e+01
5.075522460937500000e+02,1.183333301544189453e+01
5.077611999511718750e+02,1.216666698455810547e+01
5.079701538085937500e+02,1.216666698455810547e+01
5.081791076660156250e+02,4.414583206176757812e+01
5.083880615234375000e+02,4.430208206176757812e+01
5.085970153808593750e+02,4.437500000000000000e+01
5.088059692382812500e+02,3.820833206176757812e+01
5.090149230957031250e+02,3.744791793823242188e+01
5.092238769531250000e+02,3.753125000000000000e+01
5.094328308105468750e+02,3.679166793823242188e+01
5.096417846679687500e+02,3.676041793823242188e+01
5.098507385253906250e+02,3.226041793823242188e+01
5.100596923828125000e+02,7.385416507720947266e+00
5.102686462402343750e+02,0.000000000000000000e+00
5.104776000976562500e+02,0.000000000000000000e+00
5.106865539550781250e+02,0.000000000000000000e+00
5.108955078125000000e+02,0.000000000000000000e+00
5.111044921875000000e+02,0.000000000000000000e+00
5.113134460449218750e+02,0.000000000000000000e+00
5.115223999023437500e+02,5.883333206176757812e+01
5.117313537597656250e+02,5.925000000000000000e+01
5.119403076171875000e+02,5.950000000000000000e+01
5.121492309570312500e+02,5.841666793823242188e+01
5.123582153320312500e+02,1.124895858764648438e+02
5.125671386718750000e+02,1.058437500000000000e+02
5.127761230468750000e+02,9.881250000000000000e+01
5.129850463867187500e+02,1.043854141235351562e+02
5.131940307617187500e+02,9.258333587646484375e+01
5.134030151367187500e+02,9.393750000000000000e+01
5.136119384765625000e+02,8.707291412353515625e+01
5.138209228515625000e+02,7.313541412353515625e+01
5.140298461914062500e+02,6.425000000000000000e+01
5.142388305664062500e+02,6.191666793823242188e+01
5.144477539062500000e+02,6.351041793823242188e+01
5.146567382812500000e+02,6.494791412353515625e+01
5.148656616210937500e+02,6.083333492279052734e+00
5.150746459960937500e+02,6.083333492279052734e+00
5.152835693359375000e+02,6.864583492279052734e+00
5.154925537109375000e+02,7.635416507720947266e+00
5.157014770507812500e+02,8.364583015441894531e+00
5.159104614257812500e+02,9.885416984558105469e+00
5.161193847656250000e+02,9.822916984558105469e+00
5.163283691406250000e+02,9.791666984558105469e+00
5.165372924804687500e+02,5.250000000000000000e+00
5.167462768554687500e+02,2.291666746139526367e+00
5.169552001953125000e+02,4.520833492279052734e+00
5.171641845703125000e+02,6.000000000000000000e+00
5.173731079101562500e+02,6.750000000000000000e+00
5.175820922851562500e+02,1.070833301544189453e+01
5.177910156250000000e+02,8.375000000000000000e+00
5.180000000000000000e+02,8.322916984558105469e+00
5.182089843750000000e+02,1.070833301544189453e+01
5.184179077148437500e+02,1.070833301544189453e+01
5.186268920898437500e+02,1.054166698455810547e+01
5.188358154296875000e+02,1.045833301544189453e+01
5.190447998046875000e+02,1.029166698455810547e+01
5.192537231445312500e+02,1.098958301544189453e+01
5.194627075195312500e+02,1.089583301544189453e+01
5.196716308593750000e+02,1.080208301544189453e+01
5.198806152343750000e+02,1.119791698455810547e+01
5.200895385742187500e+02,1.128125000000000000e+01
5.202985229492187500e+02,1.136458301544189453e+01
5.205074462890625000e+02,1.375000000000000000e+01
5.207164306640625000e+02,1.464583301544189453e+01
5.209253540039062500e+02,1.467708301544189453e+01
5.211343383789062500e+02,1.479166698455810547e+01
5.213432617187500000e+02,1.477083301544189453e+01
5.215522460937500000e+02,0.000000000000000000e+00
5.217611694335937500e+02,0.000000000000000000e+00
5.219701538085937500e+02,0.000000000000000000e+00
5.221790771484375000e+02,0.000000000000000000e+00
5.223880615234375000e+02,0.000000000000000000e+00
